State,DocumentType,Title,SourceUrl,Content,
CA,Vehicle Title & Registration,Registration For a Vehicle Purchased from a Dealer,https://www.dmv.ca.gov/portal/vehicle-registration/new-registration/registering-a-vehicle-purchased-from-a-dealer/,"To register your vehicle/vessel, you will always need:

- If the vehicle is new, a completed **Application for Title or Registration (REG 343)** (PDF) form.
- If the vehicle is used, the **California Certificate of Title** (or an out-of-state title, if the car is currently registered in another state).
- If the title has been lost or damaged, complete an **Application for Replacement or Transfer of Title (REG 227)** (PDF) to request a copy.
- The signature(s) of seller(s) and/or lienholder on the Certificate of Title.
- Your signature on the Certificate of Title.
- Applicable title transfer fees or a use tax.

You may also need:

- A completed **Vehicle/Vessel Transfer and Reassignment (REG 262)** form. Show Citation 11 
- A **Statement of Facts (REG 256)** (PDF) form.
- Smog certification.
- **Vehicle Emission System Statement (SMOG) (REG 139)** (PDF) form.
- A **Declaration of Gross Vehicle Weight (GVW)/Combined Gross Vehicle Weight (CGW) (REG 4008)** (PDF) form (if you are purchasing a commercial vehicle).
- Use tax and/or various other fees.
- To complete your registration, please visit a DMV field office in person.

**Sources:** 

- [Application for Title or Registration (REG 343) (PDF)](https://www.dmv.ca.gov/portal/file/application-for-title-or-registration-reg-343-pdf/)
- [Application for Replacement or Transfer of Title (REG 227) (PDF)](https://www.dmv.ca.gov/portal/file/application-for-duplicate-or-transfer-of-title-reg-227-pdf/)
- [Title Transfer Fees](https://www.dmv.ca.gov/portal/vehicle-registration/registration-fees/)
- [Statement of Facts (REG 256) (PDF)](https://www.dmv.ca.gov/portal/file/statement-of-facts-reg-256-pdf/)
- [Vehicle Emission System Statement (SMOG) (REG 139) (PDF)](https://www.dmv.ca.gov/portal/file/vehicle-emission-system-statement-smog-reg-139-pdf/)
- [Declaration of Gross Vehicle Weight (GVW)/Combined Gross Vehicle Weight (CGW) (REG 4008) (PDF)](https://www.dmv.ca.gov/portal/file/declaration-of-gross-vehicle-weight-gvw-combined-gross-vehicle-weight-cgw-reg-4008-pdf/)",
CA,Vehicle Title & Registration,Titles,https://www.dmv.ca.gov/portal/vehicle-registration/titles/,"In addition to identifying the owner of a vehicle, a California Certificate of Title is an official source of information about the vehicle. A title may include:

- Registered owner’s name and address
- Vehicle identification information, including vehicle identification number (VIN), make, model, and year
- Odometer mileage
- Registration date
- Lienholder’s name and information (if there is money owed on the vehicle)
- Title brands, if any (see Branded Titles, below)
- Value",
CA,Vehicle Title & Registration,Registration Fees,https://www.dmv.ca.gov/portal/vehicle-registration/registration-fees/,"### Determining Fees

Registration fees are based on:

- Your vehicle type (auto, motorcycle, etc.).
- Your vehicle’s purchase price or declared value.
- Dates (for example, the date you purchased your vehicle, or the date your vehicle entered California).
- The city and/or county you live in.
- The city and/or county your business is based in.
- The unladen or declared gross vehicle weight (GVW) and the number of axles your vehicle may have.
- Any special license plates your vehicle may have.
- Whether you have any unpaid parking violations or toll evasion bail.
 
You will likely have to pay the following fees if your vehicle is registered for on-highway use:

- The registration fee
- California Highway Patrol (CHP) fee
- Vehicle license fee
- Transportation improvement fee
- County/district fee

### DMV Fee Calculators

To help people plan for registration-related fees, DMV provides vehicle registration fee calculators.

These fee calculators can help you:

- Determine registration fees for a new vehicle that will be purchased in California from a licensed California dealer.
- Determine registration fees for a nonresident vehicle (vehicles last registered outside the state of California).
- Determine registration fees for a used vehicle that will be purchased in California.
- Determine vehicle license fee (VLF) paid for tax purposes.
- Determine registration renewal fees due.
- Your estimate will vary depending on the information you enter.

**Note:** All fees may change depending on the law.

**Sources:**

- [Fees for a New Vehicle](https://www.dmv.ca.gov/wasapp/FeeCalculatorWeb/newVehicleForm.do)
- [Fees for a Non-Resident Vehicle](https://www.dmv.ca.gov/wasapp/FeeCalculatorWeb/newResidentForm.do)
- [Fees for a Used Vehicle](https://www.dmv.ca.gov/wasapp/FeeCalculatorWeb/usedVehicleForm.do)
- [Vehicle License Fee (VLF)](https://www.dmv.ca.gov/wasapp/FeeCalculatorWeb/vlfForm.do)
- [Registration Renewal Fees](https://www.dmv.ca.gov/wasapp/FeeCalculatorWeb/renewalForm.do)",
CA,Vehicle Title & Registration,Insurrance Requirements,https://www.dmv.ca.gov/portal/vehicle-registration/insurance-requirements/,"Insurance (also referred to as financial responsibility) is required on all vehicles operated or parked on California roads.

You must carry evidence of insurance in your vehicle at all times and it must be provided when:

- Requested by law enforcement.
- You are renewing the vehicle registration.
- The vehicle is involved in a traffic collision.


### Types of Insurance

Here are the types of acceptable insurance:

- Motor vehicle liability insurance policy.
- Cash deposit of $75,000 with DMV.
- DMV-issued self-insurance certificate.
- Surety bond for $75,000 from a company licensed to do business in California.

For information regarding cash deposits or self-insurance, contact DMV Insurance Unit at (916) 657-6677 and select Option 3.

To locate a company that issues surety bonds, contact the Department of Insurance at insurance.ca.gov or by calling 1-800-927-4357.


### Minimum Liability Insurance Requirements for Private Passenger, Commercial and Fleet Vehicles


Here are the minimum liability insurance requirements (per California Insurance Code §11580.1b):

- $30,000 for injury/death to one person.
- $60,000 for injury/death to more than one person.
- $15,000 for damage to property.

Liability insurance compensates a person other than the policy holder for personal injury or property damage.

Comprehensive or collision insurance does not meet vehicle financial responsibility requirements.

Does not include any additional Insurance requirements for Commercial and/or Fleet Vehicles deemed necessary by any Federal, State or Local Agency.

### Insurance Companies that Electronically Report to DMV

Insurance companies in California are required by law (California Vehicle Code [CVC] §16058) to electronically report private-use vehicle information and as of January 1, 2023, Commercial and Fleet vehicle insurance information.

### Submitting Proof of Insurance

If DMV does not receive proof of insurance for a vehicle, its registration will be suspended. The vehicle may not be operated or parked on public roadways until proof of insurance is submitted.

Proof of insurance can be submitted online or through email

**Sources:**

- [Proof of insurance can be submitted online or through email](https://www.dmv.ca.gov/portal/vehicle-registration/insurance-requirements/suspended-vehicle-registration/)
- [Department of Insurance](http://www.insurance.ca.gov/)",
UT,Vehicle Title & Registration,Registering Your Vehicle in Utah,https://dmv.utah.gov/register/registering-your-vehicle/,"Most on and off-road vehicles, boats, aircraft, and commercial vehicles must be registered to operate in Utah. Different requirements, fees, and taxes apply, depending on your vehicle type and other factors. Review the other registration pages for an overview of the Utah vehicle registration process.

Keep in mind that many registration and other functions can be done online at Utah’s Motor Vehicle Portal (MVP), opens in a new tab. Conducting business online saves time that you would otherwise spend driving to an office and waiting in line.

**Sources:**

-  [Utah’s Motor Vehicle Portal (MVP)](https://mvp.tax.utah.gov/_/)",
UT,Registration Renewal,Renew Your Registration,https://dmv.utah.gov/register/renewal/,"A registration renewal may be completed 60 days prior to expiration of the current registration, subject to the availability of renewal materials. The new registration period retains the same expiration month as the original registration, with few exceptions. Some registration renewals require that you visit an office in person, such as when your renewal has been expired for over 6 months or you qualify for an abatement. In these types of cases, please go directly to the online Appointment Scheduler, opens in a new tab.

**Sources:**

- [Appointment Scheduler](https://mvp.tax.utah.gov/?link=ScheduleAppointment)",
NV,Registration Renewal,Registration Renewal,https://dmv.nv.gov/regrenewal.htm,"### Registration Renewal

#### General Information

Vehicle registrations expire on the exact date listed, not at the end of the month. You will receive a renewal postcard in the mail approximately 30 days prior to renewal. You will receive only email notices if you have a MyDMV account  and have chosen to go paperless.

You are responsible for timely registration renewal even if you do not receive a notice. Late fees based on the expiration date are assessed for late renewals. Nevada has no grace period.

You may obtain a temporary movement permit through MyDMV or at your nearest DMV office if you must drive after your registration is expired.

#### Renewal Options

You may renew approximately 35 days before expiration or up to 18 months after (late fees apply) using the online, kiosks or emission station options. Renew in person outside of these time frames.

You must register your vehicle for a full year. There are no partial registrations. Trailers may be registered for one year or three years.

Have your current odometer reading ready.


**Sources:**

- [MyDMV Account](https://dmvapp.nv.gov/dmv/application/dmvportal/pages/default.aspx)
- [DMV Office](https://dmv.nv.gov/locat.htm)",
TX,Vehicle Registration,Initial Vehicle Registration,https://www.txdmv.gov/motorists/register-your-vehicle,"### For New Residents
Upon moving to Texas, you have 30 days to register your vehicle. The process involves these key steps:
1. **Obtain Texas Auto Insurance:** Your vehicle must be insured by a provider licensed in Texas.
2. **Vehicle Inspection:** An emissions inspection is mandatory in 17 counties for vehicles aged 2 to 24 years.
3. **Gather Required Documents:**
    - Proof of a passing vehicle inspection report (if applicable)
    - Proof of Texas auto insurance
    - The vehicle's out-of-state title or registration
    - A completed Application for Texas Title and/or Registration (Form 130-U)
    - A valid government-issued photo ID
4. **Visit Your Local County Tax Assessor-Collector's Office:** Submit your documents and pay the required fees to receive your Texas license plates and registration sticker.",
UT,Vehicle Registration,Registering Your Vehicle in Utah,https://dmv.utah.gov/register/registering-your-vehicle,"To register your vehicle, you will generally need the following documents:
- Completed and signed Form TC-656, Vehicle Application for Utah Title
- Proof of vehicle ownership (title or Manufacturer's Certificate of Origin)
- Current out-of-state registration (for new residents)
- A valid Utah driver's license
- Proof of Utah car insurance
- Payment for all applicable fees and taxes.

All vehicles being titled in Utah for the first time require a VIN inspection. Emissions testing requirements vary by county.",
MN,Vehicle Registration,New Minnesota Residents,https://dps.mn.gov/divisions/dvs/Pages/new-resident-vehicle-services.aspx,"New residents have 60 days to register their vehicles in Minnesota. You will need:
- Proof of Ownership (out-of-state vehicle title or registration card if lienholder has title)
- A current Minnesota driver's license or ID card
- Proof of Minnesota auto insurance
- The current odometer reading
- A completed Application to Title and Register a Motor Vehicle (Form PS2000).

Submit your documents and payment in person at a Deputy Registrar Office.",
WA,Vehicle Registration,New to Washington,https://www.dol.wa.gov/vehicleregistration/moving-washington,"If you've recently moved to Washington, you have 30 days to register your out-of-state vehicle with the DOL. Before you can register your vehicle, you must first obtain a Washington driver's license. You'll need to visit a local DOL office and provide:
- Proof of Ownership (your vehicle's current title)
- A completed Vehicle Title Application (Form TD-420-001)
- An odometer disclosure
- A VIN inspection.

You must also have Washington state vehicle insurance.",
IA,Vehicle Registration,New Iowa Residents,https://www.iowadot.gov/mvd/vehicleregistration/new-to-iowa,"New residents must register their vehicles within 30 days of establishing residency. You will need to visit your county treasurer's office with the following:
- Proof of Ownership (your vehicle's original certificate of title or current out-of-state registration if a lienholder holds the title)
- A signed Application for Certificate of Title and/or Registration (Form 411007)
- A bill of sale
- Proof of identity.",
NE,Vehicle Registration,New Residents,https://dmv.nebraska.gov/services/new-resident,"New residents to Nebraska also have a 30-day window after establishing residency to title and register their vehicles in the state. You will need:
- Your current certificate of title from your previous state of residence
- A vehicle inspection conducted by the local sheriff's office
- A completed Application for Certificate of Title
- Proof of current, valid Nebraska auto insurance
- Your most recent registration certificate from your previous state.",
NV,Vehicle Registration,New Resident Registration,https://dmv.nv.gov/newresident.htm,"New residents must obtain a Nevada driver license and register their vehicles within 30 days of becoming a resident. You will need:
- A Nevada smog check (if required)
- Your current registration and license plates
- The out-of-state title
- Proof of Nevada liability insurance
- A completed Vehicle Inspection Certificate (VIN inspection).

You must register in person at a DMV office.",
SD,Vehicle Registration,New Residents,https://dor.sd.gov/individuals/motor-vehicle/title-registration/,"If you're moving to South Dakota, you have 90 days from your arrival to title and register your vehicle. You'll need to visit your local county treasurer's office with the following documents:
- Original Title from your previous state
- A completed and signed South Dakota Application for Title & Registration
- Your South Dakota driver's license.

South Dakota has a 4% motor vehicle excise tax.",
ND,Vehicle Registration,New to North Dakota,https://www.dot.nd.gov/divisions/mv/new-to-nd.htm,"New residents have a short window to register their vehicles after establishing residency or employment. You will need:
- Proof of Ownership (vehicle's title or Manufacturer's Certificate of Origin)
- Application for Certificate of Title and Registration of a Vehicle (SFN 2872)
- A valid North Dakota driver's license or ID card
- Proof of North Dakota Insurance.

A 5% excise tax is levied on the purchase price of the vehicle.",
MO,Vehicle Registration,New Resident,https://dor.mo.gov/motor-vehicle/titling-registration/,"For new residents, you have 30 days from establishing residency to register your vehicle. You will need to visit a local Missouri license office with the following documents:
- Proof of Ownership (Certificate of Title or Manufacturer's Statement of Origin)
- A signed Application for Missouri Title and License (Form 108)
- A current insurance identification card
- A safety inspection certificate
- A statement of non-assessment from your county collector's office or a paid personal property tax receipt.",
OR,Vehicle Registration,New Oregon Residents,https://www.oregon.gov/odot/dmv/pages/new2or/moving.aspx,"If you are moving to Oregon, you must title and register your vehicle. To be eligible, you must be a resident of or domiciled in the state. You will need:
- Application for Title and Registration (Form 735-226)
- Proof of Ownership (original title or MCO)
- Lien releases
- Bills of sale
- Your valid Oregon driver's license
- Proof of auto insurance.

A VIN inspection is required for vehicles with out-of-state titles.",
OK,Vehicle Registration,New Residents,https://oklahoma.gov/service/sok/vehicle-registration.html,"For new residents, you have 30 days after establishing residency to register your out-of-state vehicle. You will need:
- Proof of Ownership (title or MCO)
- A completed Application for Oklahoma Certificate of Title (Form 701-6)
- Proof of Oklahoma Liability Insurance
- Valid identification
- An Odometer Disclosure Statement
- A VIN Inspection.

You must register your vehicle at a Service Oklahoma or a Licensed Operator location.",
ID,Vehicle Registration,New Residents,https://transportation.idaho.gov/itddmv/,"New residents have 90 days to register their out-of-state vehicle. A VIN inspection is required for all vehicles being registered in Idaho for the first time. You will need your out-of-state title, proof of Idaho residency, and an Idaho driver's license or Social Security Number (SSN).",
MT,Vehicle Registration,New Residents,https://dojmt.gov/driving/vehicle-title-and-registration/,"New residents have 60 days to register their vehicles. You will need your out-of-state title, a completed Application for Certificate of Title for a Motor Vehicle (Form MV1), proof of insurance, a valid driver's license, and two forms of proof of residency.",
WY,Vehicle Registration,New Residents,https://www.dot.state.wy.us/home/vehicle_boat_registration.html,"New residents have 30 days to register their vehicles upon becoming employed, or 120 days if not employed. A VIN inspection is required for all out-of-state vehicles. You will need your Wyoming title (or out-of-state title to apply for one), proof of auto insurance, and your previous out-of-state registration.",
CO,Vehicle Registration,New Residents,https://dmv.colorado.gov/new-to-colorado,"New residents have 90 days after establishing residency to register their vehicle. You will need proof of ownership (title or out-of-state registration), Secure and Verifiable Identification (SVID), proof of Colorado vehicle emissions (if applicable), proof of insurance, and a VIN verification for out-of-state vehicles.",
NM,Vehicle Registration,New Residents,https://www.mvd.newmexico.gov/vehicles/vehicle-registration/,"New residents must register their vehicle. A VIN inspection is mandatory for all vehicles being brought to New Mexico from another state. You will need proof of identity, two documents proving New Mexico residency, proof of insurance, the vehicle's title, and a bill of sale.",
AR,Vehicle Registration,New Residents,https://www.dfa.arkansas.gov/motor-vehicle/vehicle-registration/,"New residents have 60 days to register their vehicles. You must have the vehicle assessed by the local county assessor. You will need proof of ownership (title or MSO), a bill of sale, an odometer disclosure statement, proof of insurance, and proof that personal property taxes have been paid.",
IL,Vehicle Registration,New Residents,https://www.ilsos.gov/departments/vehicles/title_and_registration/home.html,"New residents have 30 days to register their vehicles after establishing residency. You will need to submit an Application for Vehicle Transaction (VSD 190), proof of vehicle ownership, proof of Illinois residency, and proof of insurance. An emissions test may be required.",
KS,Vehicle Registration,New Residents,https://www.ksrevenue.gov/dov-newlienkansas.html,"New residents have 90 days from establishing residency to register their vehicles. All vehicles with out-of-state titles require a VIN inspection from the Kansas Highway Patrol. You will need the original title, proof of insurance from a Kansas-approved company, your previous state's registration, and a valid driver's license.",
WI,Vehicle Registration,New Residents,https://wisconsindot.gov/Pages/dmv/vehicles/title-plates/new-res.aspx,"New residents have 60 days after establishing residency to register their vehicles. You will need your out-of-state title and registration, a completed Title and License Plate Application (Form MV1), and proof of identity (your new Wisconsin driver's license).",
IN,Vehicle Registration,New Residents,https://www.in.gov/bmv/registration-plates/vehicle-registrations/,"New residents have a 60-day window to register their vehicles. You must first obtain an Indiana certificate of title. The vehicle must be present for a VIN inspection. You will need your out-of-state title, proof of address, proof of Social Security Number (SSN), and proof of insurance.",
OH,Vehicle Registration,New Residents,https://www.bmv.ohio.gov/titles-new.aspx,"New residents have 30 days to obtain an Ohio title and register their vehicle. A VIN inspection is required for out-of-state vehicles. You will need a notarized Ohio Certificate of Title, a valid Ohio driver's license or state ID, and proof of financial responsibility.",
KY,Vehicle Registration,New Residents,https://transportation.ky.gov/Motor-Vehicle-Licensing/Pages/Vehicle-Titling-and-Registration.aspx,"New residents are required to register their out-of-state vehicle within 15 days of establishing residency. The vehicle will need to undergo a Sheriff's Inspection to verify the VIN. You will need your out-of-state title, proof of Kentucky insurance, and a valid Kentucky driver's license.",
WV,Vehicle Registration,New Residents,https://transportation.wv.gov/DMV/Vehicle-Services/Pages/New-to-WV.aspx,"Newcomers to the state have 30 days from establishing residency to title and register their vehicles. The 6% titling sales tax is waived for new residents on vehicles already titled in their name in another state. You will need your out-of-state vehicle title, a completed Application for Certificate of Title (Form DMV-1-TR), proof of West Virginia residency, and proof of insurance.",
VA,Vehicle Registration,New Residents,https://www.dmv.virginia.gov/vehicles/titling-registering-vehicle,"New residents have a 30-day window to title and register their vehicles. You must first transfer your out-of-state vehicle title to a Virginia title. A valid Virginia safety inspection sticker is required, and an emissions inspection may be necessary depending on the locality. You will need proof of ownership, proof of identity and residency, a completed application form, and proof of Virginia liability insurance.",
AL,Vehicle Registration,New Residents,https://www.revenue.alabama.gov/division/motor-vehicle/,"New residents have 30 calendar days to transfer their out-of-state registration to Alabama. You will need proof of ownership (title or MSO), a bill of sale, a valid unexpired driver's license or non-driver ID, and proof of insurance.",
AK,Vehicle Registration,New Residents,https://doa.alaska.gov/dmv/reg/new.htm,"New residents or individuals who begin working in Alaska must apply for vehicle registration within 10 days of arriving in the state or starting a job. You will need your driver's license or ID, the vehicle's current out-of-state registration, the vehicle's title, proof of ownership, proof of liability insurance, and a completed Application for Title & Registration (Form V1).",
CT,Vehicle Registration,New Residents,https://portal.ct.gov/dmv/vehicle-services/register-a-vehicle-previously-registered-out-of-state?language=en,"New residents have 60 days from the date of establishing residency to register their vehicle. You will need to complete an emissions test or have your VIN verified. You will also need proof of insurance, a completed Connecticut Registration and Title Application (Form H-13B), proof of ownership, and a valid Connecticut driver's license.",
DE,Vehicle Registration,New Residents,https://www.dmv.de.gov/VehicleServices/registration/index.shtml?dc=ve_reg_new,"New residents have 60 days from the time they establish residency to title and register their vehicles. All vehicles must pass a safety and/or emissions inspection. You will need proof of ownership, proof of Delaware auto insurance, and a valid Delaware driver's license.",
FL,Vehicle Registration,New Residents,https://www.flhsmv.gov/motor-vehicles/,"New residents are required to register their out-of-state vehicles within 10 days of becoming employed, enrolling children in public school, or establishing residency. You will need proof of identity, proof of Florida insurance, the out-of-state title, and a completed Application for Certificate of Title With/Without Registration (HSMV form 82040). All out-of-state vehicles must have their VIN and odometer reading verified.",
GA,Vehicle Registration,New Residents,https://dor.georgia.gov/motor-vehicles/vehicle-registration,"You have 30 days from the date you move to Georgia to register your vehicle. You will need your Georgia driver's license, proof of ownership, a completed MV-1 Title/Tag Application, proof of Georgia liability insurance, and a passed emissions inspection (if required by your county).",
